"Age","Gender","Education","Country","Ethnicity","Nscore2","Escore2","Cscore2","Alcohol2","Cannabis2","Nicotine2","Opioid","Ascore2","Oscore2"
"55-64","Female","University degree","UK","Mixed-White/Asian",33,46,45,"Used","Never Used","Never Used","Never Used",42,47
"45-54","Female","University degree","USA","White",25,46,48,"Used","Used","Used","Never Used",48,43
"35-44","Male","University degree","UK","White",52,33,39,"Used","Used","Used","Never Used",31,50
"35-44","Female","Professional certificate/ diploma","UK","White",50,35,32,"Used","Used","Used","Never Used",35,41
"25-34","Female","University degree","UK","White",40,45,46,"Used","Used","Used","Never Used",49,44
"25-34","Female","Masters degree","Australia","White",40,37,44,"Used","Used","Used","Never Used",52,55
"18-24","Male","Some college or university, no certificate or degree","USA","White",47,34,37,"Used","Used","Used","Used",34,45
"35-44","Female","University degree","Australia","White",46,41,46,"Used","Used","Used","Used",42,48
"35-44","Male","Some college or university, no certificate or degree","UK","White",29,39,52,"Never Used","Used","Used","Never Used",44,48
"25-34","Female","University degree","UK","White",48,43,48,"Used","Used","Used","Never Used",45,55
"35-44","Female","Left school at 16 years","UK","White",30,46,40,"Used","Used","Used","Never Used",48,42
"45-54","Female","Left school at 16 years","UK","White",31,42,36,"Used","Used","Used","Never Used",50,35
"25-34","Male","Left school at 18 years","Other","White",50,28,31,"Used","Used","Used","Never Used",38,53
"35-44","Female","Left school at 18 years","USA","White",53,27,44,"Used","Used","Used","Never Used",36,54
"25-34","Male","Left school at 16 years","UK","White",40,30,39,"Used","Used","Used","Never Used",48,47
"18-24","Male","Left school before 16 years","UK","White",54,30,29,"Used","Used","Never Used","Never Used",30,48
"18-24","Male","Some college or university, no certificate or degree","UK","White",26,47,31,"Used","Used","Used","Never Used",34,52
"45-54","Female","Professional certificate/ diploma","UK","White",42,45,36,"Used","Used","Used","Used",41,49
"18-24","Male","Left school at 18 years","UK","White",27,43,42,"Used","Used","Used","Never Used",47,49
"18-24","Male","Professional certificate/ diploma","UK","White",41,36,44,"Used","Used","Used","Never Used",43,52
"18-24","Male","Some college or university, no certificate or degree","UK","White",43,28,29,"Used","Used","Used","Never Used",35,52
"18-24","Male","Professional certificate/ diploma","Other","Other",25,37,43,"Used","Used","Used","Never Used",47,49
"55-64","Male","Some college or university, no certificate or degree","USA","White",28,41,48,"Used","Used","Used","Used",47,50
"25-34","Male","Masters degree","UK","White",36,48,42,"Used","Used","Used","Never Used",39,60
"25-34","Male","Left school at 16 years","Other","White",35,36,36,"Used","Used","Used","Never Used",46,52
"55-64","Female","Some college or university, no certificate or degree","UK","White",49,35,27,"Used","Used","Used","Used",42,55
"35-44","Female","Professional certificate/ diploma","Republic","White",36,43,49,"Used","Used","Used","Never Used",38,40
"25-34","Female","Professional certificate/ diploma","UK","White",30,39,39,"Used","Used","Used","Used",43,36
"18-24","Male","Some college or university, no certificate or degree","USA","White",22,44,40,"Used","Used","Used","Never Used",39,44
"55-64","Female","Professional certificate/ diploma","Canada","White",36,38,46,"Used","Used","Used","Used",38,44
"35-44","Male","Left school at 16 years","UK","White",35,40,45,"Used","Used","Used","Never Used",43,44
"45-54","Male","Professional certificate/ diploma","Other","White",40,43,33,"Used","Used","Used","Never Used",36,48
"35-44","Male","University degree","UK","White",31,44,46,"Used","Used","Used","Never Used",38,52
"25-34","Male","University degree","UK","White",37,38,42,"Used","Used","Used","Never Used",34,39
"35-44","Male","Left school at 16 years","UK","White",50,32,36,"Used","Used","Used","Never Used",31,38
"35-44","Female","Masters degree","Other","White",26,47,43,"Used","Never Used","Used","Never Used",45,44
"35-44","Male","University degree","UK","White",36,46,39,"Used","Used","Used","Never Used",41,42
"45-54","Female","Masters degree","UK","White",40,43,44,"Used","Used","Used","Used",42,45
"18-24","Male","Some college or university, no certificate or degree","UK","White",40,43,34,"Used","Used","Used","Used",44,50
"55-64","Male","Left school at 16 years","USA","White",34,38,45,"Used","Used","Used","Used",48,45
"35-44","Male","Left school at 16 years","UK","White",45,38,40,"Used","Never Used","Used","Never Used",40,35
"18-24","Female","Left school at 17 years","USA","White",23,52,44,"Used","Used","Used","Used",44,49
"35-44","Female","Left school at 16 years","UK","White",34,41,44,"Used","Used","Used","Used",32,41
"25-34","Female","Masters degree","UK","White",39,39,48,"Used","Used","Used","Never Used",40,48
"25-34","Male","Professional certificate/ diploma","Other","White",41,36,36,"Used","Used","Used","Used",42,47
"25-34","Male","Masters degree","UK","White",34,42,53,"Used","Used","Used","Never Used",50,37
"35-44","Female","University degree","UK","White",38,38,48,"Used","Used","Used","Never Used",38,39
"45-54","Female","Left school at 16 years","Australia","White",42,38,43,"Used","Used","Used","Never Used",40,40
"18-24","Male","Some college or university, no certificate or degree","USA","White",36,42,41,"Used","Used","Used","Never Used",34,46
"18-24","Male","Some college or university, no certificate or degree","UK","White",33,43,32,"Used","Used","Used","Never Used",38,45
"35-44","Female","Left school before 16 years","UK","White",37,34,45,"Used","Used","Used","Used",44,33
"45-54","Female","University degree","Australia","White",29,44,56,"Used","Used","Never Used","Used",55,53
"55-64","Male","Left school at 18 years","UK","White",20,43,45,"Used","Never Used","Used","Never Used",43,38
"18-24","Male","Professional certificate/ diploma","UK","White",45,30,31,"Used","Used","Used","Used",30,44
"35-44","Male","Doctorate degree","UK","White",42,39,29,"Used","Used","Never Used","Never Used",47,45
"25-34","Female","Professional certificate/ diploma","UK","White",43,47,42,"Used","Used","Used","Never Used",43,46
"55-64","Male","University degree","UK","White",45,40,46,"Used","Used","Never Used","Never Used",30,50
"45-54","Male","University degree","UK","White",46,29,35,"Used","Used","Used","Used",45,41
"18-24","Female","University degree","UK","White",33,41,49,"Used","Never Used","Used","Never Used",53,41
"25-34","Male","Masters degree","UK","White",32,39,37,"Used","Never Used","Never Used","Never Used",32,41
"35-44","Female","Masters degree","UK","White",20,54,51,"Used","Never Used","Used","Never Used",52,43
"25-34","Female","University degree","USA","White",45,40,38,"Used","Used","Used","Used",29,52
"18-24","Female","University degree","UK","White",49,45,37,"Used","Used","Used","Never Used",49,39
"45-54","Female","Some college or university, no certificate or degree","UK","Asian",43,38,35,"Never Used","Never Used","Used","Never Used",48,37
"35-44","Female","University degree","UK","White",47,38,46,"Used","Never Used","Used","Never Used",47,46
"45-54","Male","Masters degree","UK","White",24,48,53,"Used","Never Used","Never Used","Never Used",47,45
"45-54","Female","University degree","UK","White",26,42,43,"Used","Used","Used","Never Used",37,45
"45-54","Female","University degree","Other","Black",38,45,45,"Used","Never Used","Never Used","Never Used",48,46
"35-44","Male","Left school at 17 years","UK","White",43,45,34,"Used","Used","Used","Never Used",35,52
"25-34","Female","University degree","UK","White",44,44,44,"Used","Never Used","Used","Never Used",38,39
"18-24","Female","Left school at 16 years","UK","White",48,36,34,"Used","Used","Used","Never Used",38,41
"35-44","Female","Professional certificate/ diploma","UK","White",51,41,36,"Used","Never Used","Never Used","Never Used",47,43
"45-54","Female","Some college or university, no certificate or degree","USA","White",27,37,42,"Used","Used","Used","Used",59,52
"25-34","Female","Masters degree","UK","White",20,35,54,"Used","Never Used","Never Used","Never Used",40,39
"18-24","Male","University degree","UK","White",48,37,28,"Used","Never Used","Used","Never Used",44,47
"25-34","Female","Masters degree","Other","White",25,47,41,"Used","Used","Used","Never Used",39,47
"18-24","Female","University degree","UK","White",34,37,50,"Used","Used","Used","Never Used",48,36
"35-44","Female","Masters degree","UK","White",28,48,49,"Used","Used","Used","Never Used",36,47
"18-24","Female","Masters degree","UK","White",52,29,44,"Used","Never Used","Never Used","Never Used",48,45
"25-34","Female","Masters degree","Other","Mixed-White/Black",46,26,45,"Used","Used","Never Used","Never Used",43,43
"25-34","Female","Doctorate degree","UK","White",42,43,50,"Used","Never Used","Never Used","Never Used",43,43
"45-54","Female","Masters degree","UK","White",38,33,48,"Used","Never Used","Never Used","Never Used",43,38
"18-24","Female","University degree","UK","White",34,38,44,"Used","Used","Used","Never Used",42,48
"25-34","Female","University degree","UK","White",21,46,50,"Used","Never Used","Never Used","Never Used",52,45
"18-24","Female","University degree","UK","White",31,39,41,"Used","Used","Used","Never Used",49,42
"45-54","Female","University degree","UK","White",28,40,49,"Used","Used","Used","Never Used",45,49
"18-24","Female","University degree","UK","White",46,41,45,"Used","Never Used","Never Used","Never Used",45,41
"35-44","Female","University degree","UK","White",42,44,47,"Used","Used","Used","Never Used",36,49
"35-44","Female","Masters degree","UK","Other",58,43,51,"Used","Used","Used","Never Used",41,35
"25-34","Female","Masters degree","UK","White",44,42,40,"Used","Used","Never Used","Never Used",31,42
"45-54","Female","Some college or university, no certificate or degree","UK","White",31,37,39,"Used","Used","Used","Never Used",44,46
"45-54","Female","Masters degree","UK","White",39,34,36,"Used","Never Used","Never Used","Never Used",47,47
"18-24","Female","University degree","UK","White",45,47,46,"Used","Used","Used","Never Used",49,39
"18-24","Male","University degree","UK","White",53,44,38,"Used","Used","Used","Never Used",37,54
"35-44","Male","Masters degree","UK","White",46,34,42,"Used","Used","Used","Never Used",41,45
"35-44","Female","Doctorate degree","UK","White",32,45,56,"Used","Used","Used","Never Used",37,45
"35-44","Female","Professional certificate/ diploma","Australia","White",38,47,39,"Used","Never Used","Used","Never Used",31,38
"18-24","Female","Masters degree","UK","White",21,52,53,"Used","Never Used","Never Used","Never Used",50,45
"35-44","Male","Professional certificate/ diploma","UK","White",48,31,37,"Used","Used","Used","Never Used",36,34
"55-64","Female","Some college or university, no certificate or degree","USA","White",27,46,39,"Used","Used","Never Used","Never Used",39,49
"35-44","Female","University degree","UK","White",55,29,28,"Used","Used","Used","Never Used",47,33
"35-44","Male","Left school at 16 years","UK","White",20,45,49,"Used","Never Used","Used","Never Used",40,35
"25-34","Female","Masters degree","UK","Other",44,42,48,"Used","Never Used","Never Used","Never Used",47,47
"25-34","Female","University degree","UK","White",46,45,41,"Used","Used","Used","Never Used",51,41
"45-54","Female","Masters degree","UK","White",46,39,51,"Used","Used","Used","Never Used",50,48
"18-24","Female","Masters degree","UK","White",34,45,47,"Used","Used","Used","Never Used",44,50
"35-44","Female","Some college or university, no certificate or degree","UK","White",25,40,27,"Used","Used","Used","Never Used",43,38
"18-24","Male","Some college or university, no certificate or degree","UK","White",27,50,37,"Used","Used","Used","Never Used",41,49
"35-44","Female","Professional certificate/ diploma","UK","White",39,48,48,"Used","Never Used","Never Used","Never Used",41,56
"18-24","Female","Some college or university, no certificate or degree","USA","White",42,40,39,"Used","Used","Used","Never Used",46,42
"25-34","Male","University degree","UK","White",33,41,47,"Used","Used","Used","Never Used",35,44
"18-24","Male","Professional certificate/ diploma","UK","White",43,36,40,"Used","Used","Used","Never Used",36,54
"18-24","Male","Some college or university, no certificate or degree","UK","White",39,42,28,"Used","Used","Used","Never Used",48,44
"25-34","Female","Left school at 16 years","UK","White",31,50,43,"Used","Used","Used","Never Used",49,49
"55-64","Female","Some college or university, no certificate or degree","USA","White",24,39,45,"Used","Used","Never Used","Never Used",37,48
"35-44","Male","Left school before 16 years","UK","White",30,40,46,"Used","Used","Used","Used",39,42
"35-44","Female","University degree","UK","White",40,37,52,"Used","Used","Used","Never Used",32,44
"35-44","Female","Professional certificate/ diploma","USA","White",14,46,54,"Used","Used","Used","Never Used",46,47
"25-34","Male","Professional certificate/ diploma","Other","Mixed-White/Black",35,46,46,"Used","Used","Used","Never Used",47,46
"35-44","Male","Left school at 16 years","UK","White",32,36,37,"Used","Used","Never Used","Never Used",35,42
"45-54","Male","Professional certificate/ diploma","Other","White",39,41,45,"Used","Used","Used","Never Used",34,43
"18-24","Male","Left school at 16 years","UK","White",23,45,48,"Used","Used","Used","Never Used",49,51
"55-64","Female","Professional certificate/ diploma","Canada","White",32,37,46,"Used","Used","Used","Used",38,44
"45-54","Female","Professional certificate/ diploma","USA","White",36,41,44,"Used","Used","Used","Never Used",46,42
"18-24","Male","Some college or university, no certificate or degree","UK","White",41,39,35,"Used","Used","Used","Never Used",43,48
"45-54","Female","Masters degree","UK","White",43,36,43,"Used","Used","Never Used","Never Used",54,42
"18-24","Male","Some college or university, no certificate or degree","USA","White",46,47,34,"Used","Used","Used","Never Used",44,51
"18-24","Male","Some college or university, no certificate or degree","USA","White",41,28,46,"Used","Used","Used","Never Used",29,38
"18-24","Male","Some college or university, no certificate or degree","USA","White",54,33,34,"Used","Used","Used","Used",39,51
"25-34","Male","University degree","USA","White",29,34,43,"Used","Used","Used","Never Used",33,43
"35-44","Female","Some college or university, no certificate or degree","USA","White",40,42,45,"Used","Used","Used","Used",49,48
"55-64","Female","Masters degree","USA","White",15,47,34,"Used","Used","Never Used","Never Used",51,57
"18-24","Male","University degree","UK","White",31,40,36,"Used","Used","Used","Never Used",52,38
"45-54","Male","Some college or university, no certificate or degree","USA","White",35,40,41,"Used","Used","Used","Never Used",55,52
"25-34","Male","University degree","UK","White",21,48,49,"Used","Used","Used","Never Used",44,54
"55-64","Female","Professional certificate/ diploma","Canada","White",48,34,30,"Used","Used","Used","Never Used",50,36
"25-34","Male","Some college or university, no certificate or degree","UK","White",27,46,37,"Used","Used","Used","Never Used",44,52
"25-34","Male","University degree","UK","White",29,42,46,"Used","Used","Used","Never Used",51,42
"35-44","Male","University degree","UK","White",25,41,39,"Used","Used","Used","Never Used",41,45
"25-34","Female","Masters degree","UK","White",54,38,37,"Used","Used","Used","Never Used",32,44
"25-34","Female","Left school before 16 years","USA","White",33,44,44,"Used","Used","Used","Used",37,41
"35-44","Female","Masters degree","UK","White",37,39,40,"Used","Used","Used","Never Used",48,43
"45-54","Female","Some college or university, no certificate or degree","USA","White",46,41,34,"Used","Used","Used","Used",39,45
"45-54","Male","Professional certificate/ diploma","Republic","White",27,48,47,"Used","Used","Used","Never Used",39,44
"25-34","Female","University degree","UK","White",35,47,42,"Used","Used","Used","Never Used",44,52
"55-64","Male","Masters degree","UK","White",29,33,46,"Used","Never Used","Never Used","Never Used",37,51
"18-24","Male","Left school at 18 years","UK","White",41,30,28,"Used","Used","Used","Never Used",52,43
"35-44","Male","Masters degree","UK","White",27,44,44,"Used","Used","Used","Never Used",34,45
"35-44","Female","Masters degree","UK","White",34,43,52,"Used","Used","Never Used","Never Used",45,44
"45-54","Female","Masters degree","UK","White",32,40,31,"Used","Used","Used","Never Used",41,43
"35-44","Female","Doctorate degree","UK","White",36,40,44,"Used","Used","Used","Never Used",43,37
"35-44","Female","Professional certificate/ diploma","UK","White",32,36,44,"Used","Used","Used","Never Used",37,42
"35-44","Male","University degree","UK","White",35,37,45,"Used","Used","Used","Never Used",40,40
"35-44","Male","Doctorate degree","UK","White",21,33,46,"Used","Used","Used","Never Used",54,35
"25-34","Female","Doctorate degree","UK","White",48,32,44,"Used","Used","Used","Never Used",53,37
"45-54","Female","Doctorate degree","UK","Mixed-White/Black",31,43,41,"Used","Never Used","Used","Never Used",45,50
"35-44","Female","Doctorate degree","UK","White",41,38,49,"Used","Used","Used","Never Used",45,56
"18-24","Female","University degree","UK","White",40,39,49,"Used","Never Used","Never Used","Never Used",56,44
"18-24","Female","University degree","UK","White",48,37,47,"Used","Used","Never Used","Never Used",37,37
"25-34","Female","Masters degree","UK","White",29,51,44,"Used","Used","Used","Never Used",44,49
"35-44","Female","Doctorate degree","UK","White",48,41,37,"Used","Used","Used","Used",36,46
"35-44","Male","University degree","UK","White",28,38,38,"Used","Used","Used","Never Used",50,45
"45-54","Female","University degree","UK","White",29,42,42,"Used","Used","Never Used","Never Used",46,43
"35-44","Female","Professional certificate/ diploma","Canada","White",32,41,45,"Used","Never Used","Never Used","Never Used",48,39
"18-24","Female","University degree","UK","White",33,36,52,"Used","Never Used","Never Used","Never Used",42,36
"25-34","Male","Left school at 16 years","UK","White",33,51,45,"Used","Used","Used","Never Used",51,52
"45-54","Male","University degree","UK","White",34,35,41,"Used","Used","Used","Never Used",44,49
"35-44","Male","Masters degree","UK","White",29,46,53,"Used","Used","Used","Never Used",56,52
"25-34","Female","Masters degree","UK","Black",26,44,50,"Used","Used","Used","Never Used",51,44
"25-34","Male","Some college or university, no certificate or degree","UK","White",38,38,37,"Used","Used","Used","Never Used",47,34
"45-54","Male","University degree","UK","White",36,38,39,"Used","Used","Never Used","Never Used",38,44
"18-24","Female","University degree","UK","White",31,39,47,"Used","Never Used","Used","Never Used",42,44
"18-24","Male","Some college or university, no certificate or degree","USA","White",23,49,48,"Used","Used","Used","Used",32,53
"35-44","Female","Masters degree","USA","White",47,41,34,"Used","Used","Used","Never Used",55,53
"25-34","Female","University degree","UK","White",34,45,54,"Used","Used","Used","Never Used",43,37
"45-54","Female","Masters degree","UK","White",31,53,43,"Used","Used","Used","Used",53,59
"25-34","Male","Masters degree","UK","White",42,43,34,"Used","Used","Used","Never Used",47,49
"18-24","Male","Some college or university, no certificate or degree","Australia","White",46,48,34,"Used","Used","Used","Used",39,54
"18-24","Male","Some college or university, no certificate or degree","USA","White",29,44,42,"Used","Used","Used","Never Used",44,46
"35-44","Female","Left school at 16 years","UK","White",32,46,49,"Used","Used","Used","Used",46,41
"25-34","Male","Masters degree","Other","Other",31,51,34,"Used","Used","Used","Never Used",42,43
"45-54","Male","Some college or university, no certificate or degree","Canada","White",48,36,33,"Used","Used","Used","Never Used",35,48
"45-54","Male","Professional certificate/ diploma","UK","White",47,30,31,"Used","Used","Used","Used",40,55
"18-24","Male","Masters degree","UK","White",42,41,38,"Used","Used","Used","Never Used",41,49
"25-34","Male","Doctorate degree","Republic","White",28,49,39,"Used","Used","Used","Used",37,57
"25-34","Female","Masters degree","UK","Black",24,43,43,"Used","Never Used","Never Used","Never Used",50,46
"18-24","Female","University degree","UK","White",33,32,51,"Used","Used","Used","Never Used",42,41
"25-34","Female","University degree","UK","White",36,41,53,"Used","Used","Used","Never Used",55,48
"25-34","Female","Doctorate degree","UK","White",48,31,31,"Used","Used","Used","Never Used",34,44
"18-24","Male","University degree","UK","White",32,37,38,"Used","Used","Used","Never Used",45,50
"25-34","Female","Doctorate degree","UK","White",47,37,40,"Used","Used","Used","Never Used",45,47
"18-24","Male","Left school at 18 years","UK","White",19,38,35,"Used","Used","Used","Never Used",42,47
"35-44","Male","Some college or university, no certificate or degree","UK","White",45,35,44,"Used","Used","Used","Used",41,54
"45-54","Male","University degree","UK","White",21,53,39,"Used","Used","Never Used","Never Used",45,47
"25-34","Male","Some college or university, no certificate or degree","UK","White",30,46,41,"Used","Used","Used","Never Used",41,49
"18-24","Male","Professional certificate/ diploma","UK","White",32,41,39,"Used","Used","Used","Never Used",38,43
"35-44","Male","Professional certificate/ diploma","UK","White",31,45,43,"Used","Used","Used","Never Used",39,46
"18-24","Male","University degree","UK","White",33,40,48,"Used","Used","Used","Never Used",48,55
"18-24","Female","Some college or university, no certificate or degree","UK","White",48,47,48,"Used","Used","Never Used","Never Used",47,49
"18-24","Female","Masters degree","UK","Asian",44,35,34,"Used","Never Used","Never Used","Never Used",39,42
"35-44","Male","Professional certificate/ diploma","UK","White",35,38,36,"Used","Used","Used","Never Used",38,41
"18-24","Male","Professional certificate/ diploma","UK","White",38,40,44,"Used","Used","Used","Never Used",42,34
"25-34","Male","University degree","UK","White",41,38,37,"Used","Used","Used","Never Used",39,49
"18-24","Male","Some college or university, no certificate or degree","UK","White",56,24,26,"Never Used","Never Used","Never Used","Never Used",43,44
"18-24","Female","Some college or university, no certificate or degree","UK","White",42,38,51,"Used","Used","Used","Used",35,42
"45-54","Male","Doctorate degree","UK","White",38,34,26,"Used","Used","Never Used","Used",43,45
"35-44","Male","Some college or university, no certificate or degree","UK","White",24,40,43,"Used","Used","Used","Never Used",39,37
"25-34","Male","Masters degree","UK","White",49,27,46,"Used","Used","Never Used","Never Used",45,49
"35-44","Female","University degree","UK","White",41,39,37,"Used","Used","Used","Never Used",42,43
"35-44","Female","Professional certificate/ diploma","UK","White",45,35,30,"Used","Used","Used","Used",35,54
"25-34","Male","University degree","Australia","White",32,41,36,"Used","Used","Used","Never Used",40,51
"18-24","Female","Some college or university, no certificate or degree","Canada","White",51,46,35,"Used","Used","Never Used","Never Used",41,55
"45-54","Female","Left school before 16 years","Australia","White",27,44,44,"Used","Used","Used","Never Used",49,39
"35-44","Male","Some college or university, no certificate or degree","USA","White",46,47,46,"Used","Used","Used","Never Used",35,44
"55-64","Female","Masters degree","UK","White",44,35,41,"Used","Used","Used","Never Used",43,43
"55-64","Male","Some college or university, no certificate or degree","UK","White",40,35,41,"Used","Never Used","Used","Used",33,36
"25-34","Female","University degree","UK","White",34,39,45,"Used","Never Used","Used","Never Used",44,39
"45-54","Female","Masters degree","UK","White",38,35,38,"Used","Used","Used","Never Used",41,44
"35-44","Male","Masters degree","UK","White",25,38,46,"Used","Used","Used","Never Used",46,47
"35-44","Male","Professional certificate/ diploma","UK","White",27,36,40,"Used","Used","Used","Never Used",39,43
"35-44","Female","Masters degree","UK","White",34,37,53,"Used","Never Used","Used","Never Used",51,46
"55-64","Male","University degree","UK","White",28,42,51,"Used","Used","Used","Never Used",33,49
"45-54","Female","University degree","Canada","Other",21,38,42,"Used","Used","Used","Never Used",53,53
"35-44","Male","University degree","USA","White",35,33,37,"Used","Used","Used","Never Used",43,52
"55-64","Male","Some college or university, no certificate or degree","UK","White",34,32,34,"Used","Used","Used","Never Used",45,41
"35-44","Female","Some college or university, no certificate or degree","Other","White",45,41,43,"Used","Used","Used","Never Used",37,49
"45-54","Male","Left school before 16 years","UK","White",26,47,49,"Used","Used","Used","Used",48,49
"35-44","Female","University degree","UK","White",32,44,42,"Used","Used","Used","Never Used",41,50
"55-64","Male","University degree","UK","White",23,45,41,"Used","Used","Used","Never Used",37,45
"35-44","Male","Some college or university, no certificate or degree","USA","White",28,38,44,"Used","Used","Used","Used",39,42
"18-24","Male","Some college or university, no certificate or degree","UK","White",23,42,43,"Used","Used","Used","Never Used",55,53
"18-24","Female","University degree","UK","White",34,33,44,"Used","Used","Used","Never Used",40,36
"25-34","Male","University degree","UK","White",35,52,38,"Used","Used","Used","Never Used",42,48
"18-24","Male","Some college or university, no certificate or degree","UK","White",40,36,49,"Used","Used","Used","Never Used",48,43
"18-24","Male","Professional certificate/ diploma","UK","White",27,38,45,"Used","Used","Used","Never Used",47,41
"18-24","Male","University degree","UK","White",45,41,32,"Used","Used","Used","Never Used",39,50
"18-24","Male","Some college or university, no certificate or degree","USA","White",30,39,45,"Used","Used","Used","Never Used",50,40
"25-34","Female","Masters degree","UK","White",41,42,49,"Used","Used","Never Used","Never Used",44,51
"18-24","Male","University degree","USA","White",41,45,42,"Used","Used","Used","Never Used",54,52
"18-24","Male","Professional certificate/ diploma","UK","White",43,47,40,"Used","Used","Used","Never Used",36,49
"18-24","Female","Some college or university, no certificate or degree","USA","White",42,43,44,"Used","Used","Used","Used",54,53
"18-24","Male","Some college or university, no certificate or degree","UK","White",35,29,28,"Used","Used","Used","Never Used",39,37
"35-44","Male","University degree","USA","White",28,34,44,"Used","Used","Used","Never Used",44,44
"18-24","Male","Left school at 16 years","Other","White",35,31,40,"Used","Used","Used","Never Used",39,41
"55-64","Male","University degree","UK","White",32,33,39,"Used","Used","Used","Never Used",40,41
"35-44","Male","Some college or university, no certificate or degree","UK","White",48,45,49,"Used","Used","Used","Never Used",42,52
"35-44","Female","Professional certificate/ diploma","UK","White",51,35,43,"Used","Used","Used","Never Used",48,48
"55-64","Male","Professional certificate/ diploma","UK","White",35,38,39,"Used","Used","Used","Never Used",39,46
"25-34","Female","University degree","UK","White",27,49,46,"Used","Used","Never Used","Never Used",49,48
"35-44","Female","Some college or university, no certificate or degree","UK","White",47,36,39,"Used","Used","Used","Never Used",48,51
"25-34","Female","Masters degree","UK","White",39,44,44,"Used","Used","Used","Never Used",53,51
"18-24","Male","Professional certificate/ diploma","UK","White",56,33,38,"Used","Used","Used","Never Used",35,51
"25-34","Female","Masters degree","UK","Mixed-White/Black",39,44,41,"Used","Never Used","Used","Never Used",44,42
"18-24","Male","Some college or university, no certificate or degree","Canada","White",23,41,30,"Used","Used","Never Used","Never Used",41,51
"35-44","Female","University degree","UK","White",43,40,42,"Used","Used","Used","Never Used",43,39
"18-24","Male","Some college or university, no certificate or degree","UK","White",28,48,38,"Used","Used","Never Used","Never Used",42,44
"18-24","Female","University degree","UK","White",48,44,42,"Used","Used","Used","Never Used",42,51
"35-44","Male","Left school at 16 years","UK","Mixed-White/Asian",42,41,40,"Used","Used","Used","Never Used",41,48
"18-24","Male","Some college or university, no certificate or degree","UK","White",43,47,28,"Used","Used","Used","Never Used",33,55
"25-34","Female","University degree","UK","White",38,53,37,"Used","Used","Used","Used",53,59
"25-34","Male","University degree","UK","White",31,27,33,"Used","Used","Used","Never Used",33,26
"25-34","Male","University degree","UK","White",26,51,55,"Used","Used","Used","Never Used",44,46
"18-24","Female","Left school at 18 years","Other","White",48,41,46,"Used","Used","Used","Used",51,55
"25-34","Male","Masters degree","Other","White",35,30,38,"Used","Used","Used","Never Used",40,49
"35-44","Male","Some college or university, no certificate or degree","UK","White",24,41,37,"Used","Used","Used","Never Used",51,50
"45-54","Female","Masters degree","UK","White",44,38,52,"Used","Used","Used","Never Used",48,48
"35-44","Female","University degree","UK","White",42,41,35,"Used","Used","Used","Never Used",37,41
"25-34","Male","Left school at 16 years","UK","White",32,40,47,"Used","Used","Never Used","Used",37,42
"45-54","Male","Some college or university, no certificate or degree","UK","White",27,41,30,"Used","Never Used","Used","Never Used",47,46
"25-34","Female","Left school at 16 years","UK","White",43,42,39,"Used","Never Used","Never Used","Never Used",46,38
"25-34","Female","Masters degree","UK","White",35,43,45,"Used","Used","Used","Never Used",45,49
"35-44","Female","Left school at 16 years","UK","White",40,36,28,"Used","Used","Never Used","Never Used",43,36
"35-44","Female","Doctorate degree","UK","White",21,46,54,"Used","Never Used","Never Used","Never Used",53,39
"35-44","Male","Masters degree","UK","White",34,40,41,"Used","Used","Used","Never Used",50,46
"25-34","Female","Professional certificate/ diploma","UK","White",17,49,50,"Used","Used","Used","Never Used",50,33
"25-34","Male","Some college or university, no certificate or degree","Other","White",51,38,28,"Used","Used","Used","Never Used",52,53
"25-34","Female","Masters degree","UK","White",40,47,45,"Used","Used","Used","Never Used",51,42
"25-34","Male","Doctorate degree","UK","White",27,43,38,"Used","Used","Used","Never Used",50,55
"18-24","Male","Some college or university, no certificate or degree","USA","White",23,50,56,"Used","Used","Used","Used",48,56
"18-24","Female","Masters degree","UK","Mixed-White/Asian",42,42,47,"Used","Used","Never Used","Never Used",44,42
"18-24","Female","Some college or university, no certificate or degree","Republic","White",56,37,25,"Used","Used","Used","Never Used",48,45
"18-24","Male","Some college or university, no certificate or degree","USA","White",40,44,40,"Used","Used","Used","Used",42,46
"18-24","Male","Doctorate degree","UK","White",14,51,44,"Used","Used","Used","Used",50,50
"25-34","Male","University degree","Canada","White",36,33,37,"Used","Used","Used","Used",40,40
"18-24","Male","Some college or university, no certificate or degree","USA","White",52,42,23,"Used","Used","Never Used","Never Used",40,38
"25-34","Female","University degree","Australia","White",24,45,43,"Used","Used","Used","Never Used",50,55
"18-24","Female","University degree","UK","White",47,45,30,"Used","Used","Used","Never Used",49,50
"18-24","Male","Left school at 16 years","UK","White",40,33,34,"Used","Used","Used","Never Used",47,53
"18-24","Male","Some college or university, no certificate or degree","USA","White",42,41,42,"Used","Used","Used","Used",48,58
"18-24","Male","Some college or university, no certificate or degree","USA","White",46,34,37,"Used","Used","Used","Used",56,48
"25-34","Male","Masters degree","New Zeala","White",44,35,40,"Used","Used","Used","Used",38,47
"18-24","Female","Professional certificate/ diploma","USA","Other",32,44,47,"Used","Used","Used","Never Used",41,47
"25-34","Male","University degree","Australia","White",46,41,47,"Used","Used","Used","Never Used",46,50
"18-24","Male","Some college or university, no certificate or degree","USA","White",42,28,35,"Used","Used","Used","Never Used",43,37
"18-24","Female","Masters degree","UK","Asian",41,30,44,"Never Used","Never Used","Used","Never Used",49,33
